iter	Passed	Remaining
0	56	56273
1	57	28492
2	57	19195
3	58	14530
4	59	11741
5	59	9863
6	60	8529
7	60	7545
8	61	6751
9	61	6120
10	62	5598
11	62	5165
12	63	4820
13	64	4528
14	65	4273
15	65	4032
16	66	3827
17	69	3806
18	70	3643
19	71	3501
20	72	3370
21	73	3253
22	74	3144
23	74	3047
24	75	2949
25	76	2855
26	76	2770
27	77	2690
28	78	2616
29	78	2547
30	79	2481
31	80	2424
32	80	2368
33	81	2313
34	83	2304
35	84	2266
36	85	2223
37	86	2181
38	87	2145
39	87	2104
40	88	2064
41	88	2025
42	89	1987
43	89	1951
44	90	1918
45	90	1885
46	91	1853
47	91	1823
48	92	1794
49	92	1766
50	93	1739
51	94	1716
52	94	1692
53	95	1670
54	97	1674
55	98	1652
56	98	1630
57	99	1609
58	99	1589
59	100	1568
60	100	1549
61	101	1532
62	101	1515
63	102	1498
64	103	1486
65	104	1475
66	105	1462
67	107	1474
68	108	1462
69	118	1573
70	119	1557
71	119	1541
72	120	1524
73	120	1509
74	121	1495
75	124	1512
76	131	1571
77	131	1558
78	132	1545
79	133	1534
80	134	1523
81	135	1513
82	135	1497
83	136	1485
84	136	1473
85	137	1460
86	137	1448
87	138	1436
88	139	1424
89	140	1424
90	142	1427
91	143	1415
92	144	1404
93	144	1393
94	145	1382
95	145	1371
96	146	1360
97	146	1350
98	147	1341
99	148	1333
100	148	1325
101	149	1319
102	150	1312
103	151	1306
104	152	1299
105	154	1301
106	155	1298
107	156	1290
108	156	1282
109	157	1272
110	157	1263
111	158	1257
112	159	1250
113	160	1243
114	160	1236
115	161	1230
116	161	1221
117	162	1214
118	163	1206
119	163	1199
120	164	1191
121	164	1183
122	164	1176
123	165	1169
124	166	1163
125	166	1156
126	167	1149
127	169	1154
128	170	1151
129	171	1145
130	171	1140
131	173	1138
132	173	1132
133	174	1125
134	174	1119
135	175	1113
136	175	1107
137	176	1101
138	176	1095
139	177	1089
140	177	1083
141	178	1076
142	178	1071
143	179	1065
144	179	1060
145	180	1055
146	181	1050
147	181	1046
148	183	1048
149	184	1043
150	184	1038
151	185	1033
152	185	1028
153	186	1023
154	186	1018
155	187	1013
156	187	1008
157	188	1004
158	189	1000
159	189	996
160	190	991
161	190	986
162	191	981
163	191	976
164	192	971
165	192	966
166	192	962
167	193	957
168	193	952
169	194	948
170	194	945
171	195	942
172	197	941
173	197	938
174	198	935
175	199	933
176	199	929
177	200	925
178	200	921
179	201	917
180	202	914
181	202	910
182	203	907
183	203	903
184	204	899
185	204	896
186	205	892
187	205	889
188	206	885
189	206	881
190	207	878
191	207	875
192	208	872
193	209	869
194	211	871
195	211	868
196	212	865
197	212	861
198	213	858
199	213	855
200	214	852
201	214	849
202	215	846
203	216	843
204	216	840
205	217	837
206	217	834
207	218	831
208	218	828
209	219	825
210	220	822
211	220	819
212	221	817
213	221	814
214	222	811
215	222	808
216	224	809
217	224	807
218	225	804
219	226	801
220	226	798
221	227	795
222	227	793
223	228	790
224	228	787
225	229	784
226	229	782
227	230	780
228	231	778
229	231	776
230	232	774
231	233	772
232	234	770
233	234	768
234	235	766
235	236	765
236	238	768
237	239	765
238	239	762
239	240	760
240	240	758
241	241	757
242	242	755
243	243	753
244	243	751
245	244	749
246	245	747
247	245	744
248	246	742
249	246	740
250	247	738
251	247	735
252	248	733
253	248	731
254	249	729
255	250	727
256	250	725
257	253	729
258	254	729
259	255	728
260	256	726
261	257	726
262	258	724
263	259	722
264	259	720
265	260	718
266	260	716
267	261	714
268	262	712
269	262	710
270	263	708
271	263	706
272	264	704
273	267	709
274	270	713
275	271	712
276	272	711
277	273	710
278	274	708
279	274	707
280	275	705
281	276	703
282	277	702
283	278	701
284	278	699
285	279	698
286	282	701
287	283	699
288	283	697
289	283	695
290	284	692
291	284	690
292	285	688
293	285	686
294	286	683
295	286	681
296	287	679
297	287	678
298	288	676
299	289	674
300	289	672
301	290	670
302	290	668
303	291	666
304	291	664
305	292	663
306	292	661
307	293	659
308	294	657
309	294	655
310	296	657
311	297	655
312	297	653
313	298	651
314	298	650
315	299	648
316	300	646
317	300	644
318	301	642
319	301	641
320	302	639
321	302	637
322	303	635
323	303	634
324	304	632
325	305	630
326	305	628
327	306	627
328	306	625
329	307	623
330	307	621
331	308	620
332	308	618
333	310	619
334	311	618
335	311	616
336	312	614
337	312	613
338	313	611
339	314	609
340	314	608
341	315	606
342	315	604
343	316	603
344	317	602
345	317	600
346	318	599
347	319	598
348	320	597
349	320	596
350	321	594
351	321	592
352	328	601
353	329	600
354	329	599
355	330	597
356	332	598
357	333	597
358	334	596
359	334	595
360	335	593
361	335	592
362	336	590
363	337	588
364	337	587
365	339	588
366	340	587
367	341	586
368	342	585
369	343	584
370	343	583
371	344	581
372	345	579
373	345	578
374	346	576
375	346	575
376	347	573
377	347	572
378	348	570
379	348	569
380	349	567
381	349	566
382	350	564
383	350	562
384	351	561
385	352	559
386	352	558
387	353	557
388	354	556
389	354	554
390	355	553
391	355	551
392	356	550
393	356	548
394	357	547
395	357	546
396	358	544
397	359	543
398	359	541
399	360	540
400	360	538
401	361	537
402	362	536
403	362	535
404	363	534
405	364	533
406	365	532
407	370	537
408	371	536
409	371	534
410	371	533
411	372	531
412	373	530
413	373	529
414	374	527
415	375	526
416	375	525
417	376	523
418	376	522
419	377	520
420	377	519
421	378	518
422	378	516
423	379	515
424	380	514
425	380	513
426	382	513
427	383	512
428	383	510
429	384	509
430	384	508
431	385	506
432	385	505
433	386	504
434	387	502
435	387	501
436	388	500
437	388	498
438	389	497
439	389	495
440	390	494
441	391	493
442	391	492
443	392	491
444	392	489
445	393	488
446	393	487
447	394	485
448	394	484
449	396	484
450	397	483
451	397	482
452	398	480
453	398	479
454	399	478
455	399	477
456	400	475
457	401	474
458	401	473
459	402	472
460	402	471
461	403	469
462	404	468
463	405	467
464	405	466
465	406	465
466	407	464
467	407	463
468	408	462
469	410	463
470	416	468
471	417	467
472	418	465
473	418	464
474	419	463
475	419	461
476	420	460
477	420	459
478	421	458
479	422	457
480	422	456
481	423	454
482	424	454
483	425	453
484	426	452
485	427	451
486	428	451
487	428	449
488	429	448
489	429	447
490	430	446
491	430	444
492	431	443
493	431	442
494	432	441
495	433	440
496	433	438
497	434	437
498	434	436
499	435	435
500	435	433
501	436	432
502	436	431
503	437	430
504	439	431
505	440	429
506	440	428
507	441	427
508	441	426
509	442	424
510	442	423
511	443	422
512	444	421
513	444	420
514	446	420
515	447	419
516	447	418
517	448	417
518	450	417
519	450	416
520	452	415
521	454	416
522	455	415
523	456	414
524	456	413
525	457	412
526	457	410
527	458	409
528	458	408
529	459	407
530	459	405
531	460	404
532	460	403
533	461	402
534	461	401
535	462	399
536	462	398
537	463	397
538	463	396
539	464	395
540	464	394
541	465	393
542	465	392
543	466	391
544	468	391
545	469	390
546	470	389
547	470	388
548	471	387
549	472	386
550	473	385
551	473	384
552	474	383
553	474	382
554	475	380
555	475	379
556	476	378
557	476	377
558	477	376
559	477	375
560	478	374
