iter	Passed	Remaining
0	0	62
1	1	58
2	1	60
3	2	56
4	2	55
5	3	55
6	4	54
7	5	57
8	6	64
9	7	67
10	7	64
11	8	62
12	9	60
13	9	59
14	10	60
15	11	59
16	11	57
17	12	56
18	12	54
19	13	53
20	14	52
21	14	51
22	15	50
23	15	49
24	16	48
25	17	48
26	17	47
27	18	47
28	18	46
29	19	45
30	19	44
31	20	43
32	20	42
33	21	41
34	22	41
35	22	40
36	23	40
37	24	39
38	24	38
39	25	38
40	25	37
41	26	36
42	26	35
43	27	34
44	27	33
45	28	33
46	28	32
47	29	31
48	29	31
49	30	30
50	31	29
51	31	29
52	32	28
53	32	27
54	32	26
55	33	26
56	33	25
57	34	25
58	37	25
59	38	25
60	39	25
61	39	24
62	40	23
63	41	23
64	41	22
65	42	21
66	42	21
67	43	20
68	44	19
69	44	19
70	45	18
71	46	17
72	46	17
73	47	16
74	47	15
75	48	15
76	49	14
77	51	14
78	52	13
79	53	13
80	53	12
81	54	11
82	54	11
83	55	10
84	55	9
85	61	9
86	62	9
87	62	8
88	63	7
89	65	7
90	66	6
91	67	5
92	68	5
93	69	4
94	69	3
95	70	2
96	72	2
97	73	1
98	74	0
99	74	0
